,,"Não
infractores",Infractores,,,,Total de,"Inf./Test.
%"
,,"0.00-0.49
g/l","0.50-0.79
g/l","0.80-1.19
g/l",">=1,20 g/l",Total,testes,
,16-20 anos,27093,442,410,349,1201,28294,"4,2"
,21-29 anos,134709,3147,3407,4240,10794,145503,"7,4"
,30-39 anos,125032,2455,2811,5256,10522,135554,"7,8"
,40-49 anos,91082,1653,1930,3577,7160,98242,"7,3"
,>=50 anos,87588,1263,1197,2019,4479,92067,"4,9"
,Total (1),465504,8960,9755,15441,34156,499660,"6,8"
