,,CONTRA-ORDENAÇÕES,,,
,,M. Graves,Graves,Leves,Total (1)
1999,,14 426,181 055,703 355,898 836
2000,,16 662,173 142,722 030,911 834
,2001,19 389,191 424,832 814,1 043 627
2002,,24 307,224 549,987 553,1 236 409
2003,,29 144,234 941,1 001 676,1 265 918
