2. Veículos importados usados segundo,,
"a idade do veículo, em 2003",,
,,
,Nº de Veículos,
,,
,,%
,284,"0,8"
,3011,"8,5"
,3606,"10,2"
,4574,"12,9"
,4258,"12,0"
,13694,"38,7"
,4149,"11,7"
,1823,"5,1"
,,
,,
,,
,,
,,
Total (1),35399,"100,0"
