,,,,Portugal,,,Espanha,,,França,,,Áustria,,,UE 28,
,Acidentes com vítimas,,-974,,,-324,,,-1.170,,,-1.100,,,-1.076,,
,Vítimas mortais,,-96,,,-85,,,-77,,,-76,,,-65,,
