,,,,VM,,,,,FG,,,,,FL,,,,Intervenientes,,,,,Total de Vítimas,,,,
,,,,2018,,,2019,,2018,,,2019,,2018,,2019,,2018,,,2019,,2018,,,2019,
,Veíc. Ligeiros,,216,,,184,,,574,,588,,,16 359,16 816,,42 402,,,43 934,,,17 149,,17 588,,
,Veíc. Pesados,,8,,,7,,,22,,28,,,285,264,,1 625,,,1 620,,,315,,299,,
,Velocípedes,,24,,,26,,,105,,105,,,1 813,2 061,,2 056,,,2 344,,,1 942,,2 192,,
,Ciclomotores,,40,,,32,,,135,,136,,,2 179,2 098,,2 490,,,2 378,,,2 354,,2 266,,
,Motociclos,,104,,,110,,,342,,471,,,5 207,6 151,,6 011,,,7 101,,,5 653,,6 732,,
,Outros,,43,,,24,,,55,,62,,,335,359,,696,,,666,,,433,,445,,
,N.D.,,0,,,0,,,0,,1,,,3,5,,191,,,256,,,3,,6,,
,Total,,,435,,,383,,1 233,,,1 391,,26 181,,27 754,,55 471,,,58 299,,27 849,,,29 528,
