,,,,,,,,,,Total de,,Índice de,
,,AcV,,VM,,FG,,FL,,,,,
,,,,,,,,,,Feridos,,Gravidade,
,,,,,,,,,,,,,
,,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019
,Atropelamento de,4 753,4 799,134,116,355,358,4 648,4 779,5 137,5 253,2.8,2.4
,peões,,,,,,,,,,,,
,Atropelamento de,106,66,2,1,8,0,106,69,116,70,1.9,1.5
Atropelamento,animais,,,,,,,,,,,,
,Atropelamento com,423,472,15,11,26,33,408,448,449,492,3.5,2.3
,fuga,,,,,,,,,,,,
,Total,5 282,5 337,151,128,389,391,5 162,5 296,5 702,5 815,2.9,2.4
,Colisão com fuga,549,617,7,3,21,30,619,724,647,757,1.3,0.5
,Colisão com outras,2 379,3 178,21,32,79,124,2 983,4 102,3 083,4 258,0.9,1.0
,situações,,,,,,,,,,,,
,Colisão frontal,3 390,2 713,143,104,362,302,5 001,4 106,5 506,4 512,4.2,3.8
,Colisão traseira com,4 036,4 146,29,36,90,145,5 364,5 541,5 483,5 722,0.7,0.9
,outro veículo em,,,,,,,,,,,,
,movimento,,,,,,,,,,,,
,Colisão lateral com,5 903,6 452,55,60,263,273,7 447,8 144,7 765,8 477,0.9,0.9
Colisão,,,,,,,,,,,,,
,outro veículo em,,,,,,,,,,,,
,movimento,,,,,,,,,,,,
,Colisão com veículo ou,836,963,16,12,40,48,1 076,1 202,1 132,1 262,1.9,1.2
,obstáculo na faixa de,,,,,,,,,,,,
,rodagem,,,,,,,,,,,,
,Colisão choque em,659,702,3,6,3,14,1 011,1 140,1 017,1 160,0.5,0.9
,cadeia,,,,,,,,,,,,
,Total,17 752,18 771,274,253,858,936,23 501,24 959,24 633,26 148,1.5,1.3
,Despiste com,526,497,5,1,17,14,617,546,639,561,1.0,0.2
,dispositivo de retenção,,,,,,,,,,,,
,Despiste sem,1 482,1 624,15,15,39,51,1 624,1 709,1 678,1 775,1.0,0.9
,dispositivo de retenção,,,,,,,,,,,,
,Despiste com fuga,88,98,1,0,9,19,108,108,118,127,1.1,0.0
,Despiste simples,6 752,6 141,137,119,466,453,7 450,6 686,8 053,7 258,2.0,1.9
,Despiste com,158,178,11,10,22,14,192,220,225,244,7.0,5.6
Despiste,transposição do,,,,,,,,,,,,
,dispositivo de retenção,,,,,,,,,,,,
,lateral,,,,,,,,,,,,
,Despiste com,1 440,1 945,59,74,132,194,1 839,2 407,2 030,2 675,4.1,3.8
,capotamento,,,,,,,,,,,,
,Despiste com colisão,755,1 113,22,26,63,96,842,1 252,927,1 374,2.9,2.3
,com veículo imóbil. ou,,,,,,,,,,,,
,obstáculo,,,,,,,,,,,,
,Total,11 201,11 596,250,245,748,841,12 672,12 928,13 670,14 014,2.2,2.1
Total,,34 235,35 704,675,626,1 995,2 168,41 335,43 183,44 005,45 977,2.0,1.8
