,,,,Portugal,,,Espanha,,,França,,,Áustria,,,UE 28,
,Acidentes com vítimas,,-24,,,354,,,-202,,,-62,,,-243,,
,Vítimas mortais,,-24,,,-14,,,-15,,,-20,,,-14,,
