,,<= 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,>=65,N.D.,Total
,2018,35,20,19,8,5,14,21,15,29,35,27,160,0,388
Peões,2019,33,17,20,13,9,9,28,20,28,31,30,171,0,409
,Dif.,-2,-3,1,5,4,-5,7,5,-1,-4,3,11,0,21
,2018,21,47,123,107,73,52,52,76,64,76,49,155,0,895
Veíc. Ligeiros,2019,36,56,119,93,69,75,72,59,59,56,47,174,3,918
,Dif.,15,9,-4,-14,-4,23,20,-17,-5,-20,-2,19,3,23
,2018,1,0,0,1,2,2,1,6,5,5,4,5,0,32
Veíc. Pesados,2019,0,0,0,2,0,1,7,7,5,2,6,0,0,30
,Dif.,-1,0,0,1,-2,-1,6,1,0,-3,2,-5,0,-2
,2018,10,17,5,5,8,8,7,8,8,10,7,13,1,107
Velocípedes,2019,6,7,5,5,9,9,8,10,5,11,11,20,0,106
,Dif.,-4,-10,0,0,1,1,1,2,-3,1,4,7,-1,-1
,2018,0,14,7,3,2,8,19,12,22,14,9,31,0,141
Ciclomotores,2019,0,4,8,8,3,7,13,16,12,15,18,33,1,138
,Dif.,0,-10,1,5,1,-1,-6,4,-10,1,9,2,1,-3
,2018,3,27,35,41,43,42,57,42,31,21,18,9,0,369
Motociclos,2019,3,37,36,68,72,75,73,36,33,17,19,27,2,498
,Dif.,0,10,1,27,29,33,16,-6,2,-4,1,18,2,129
,2018,1,1,1,7,6,9,4,3,5,3,3,20,0,63
Outros,2019,1,1,5,6,7,5,4,5,4,4,4,22,1,69
,Dif.,0,0,4,-1,1,-4,0,2,-1,1,1,2,1,6
,2018,71,126,190,172,139,135,161,162,164,164,117,393,1,1 995
Total,2019,79,122,193,195,169,181,205,153,146,136,135,447,7,2 168
,Dif.,8,-4,3,23,30,46,44,-9,-18,-28,18,54,6,173
