,,<= 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,>=65,N.D.,Total
,2018,569,427,348,216,173,207,260,304,338,358,368,1 540,0,5 108
Peões,2019,570,394,335,224,207,209,268,284,342,396,377,1 574,0,5 180
,Dif.,1,-33,-13,8,34,2,8,-20,4,38,9,34,0,72
,2018,1 575,1 402,3 149,2 471,2 033,2 048,2 037,1 914,1 726,1 585,1 320,3 854,2,25 116
Veíc. Ligeiros,2019,1 543,1 400,3 201,2 473,2 097,1 924,2 195,1 974,1 788,1 763,1 440,4 003,25,25 826
,Dif.,-32,-2,52,2,64,-124,158,60,62,178,120,149,23,710
,2018,17,46,25,36,35,61,69,81,67,73,64,96,2,672
Veíc. Pesados,2019,21,25,24,33,28,53,58,64,67,61,57,67,1,559
,Dif.,4,-21,-1,-3,-7,-8,-11,-17,0,-12,-7,-29,-1,-113
,2018,125,203,129,108,128,167,178,190,143,125,114,243,0,1 853
Velocípedes,2019,135,253,161,130,166,171,196,176,168,135,128,283,2,2 104
,Dif.,10,50,32,22,38,4,18,-14,25,10,14,40,2,251
,2018,23,258,226,158,117,111,170,209,250,233,191,438,0,2 384
Ciclomotores,2019,20,273,263,137,99,97,156,203,215,209,179,419,4,2 274
,Dif.,-3,15,37,-21,-18,-14,-14,-6,-35,-24,-12,-19,4,-110
,2018,36,620,680,934,742,651,652,489,362,243,137,178,1,5 725
Motociclos,2019,35,767,793,959,840,773,700,606,423,334,208,292,6,6 736
,Dif.,-1,147,113,25,98,122,48,117,61,91,71,114,5,1 011
,2018,13,28,39,22,26,21,27,37,37,24,42,155,3,474
Outros,2019,9,20,33,26,24,23,24,24,29,44,41,197,10,504
,Dif.,-4,-8,-6,4,-2,2,-3,-13,-8,20,-1,42,7,30
,2018,0,0,0,2,0,0,0,0,0,0,0,1,0,3
N.D.,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dif,0,0,0,-2,0,0,0,0,0,0,0,-1,0,-3
,2018,2 358,2 984,4 596,3 947,3 254,3 266,3 393,3 224,2 923,2 641,2 236,6 505,8,41 335
Total,2019,2 333,3 132,4 810,3 982,3 461,3 250,3 597,3 331,3 032,2 942,2 430,6 835,48,43 183
,Dif.,-25,148,214,35,207,-16,204,107,109,301,194,330,40,1 848
