,,,,2000,,,2010,,,2018,,,2010/2018,
,Grécia,,,,,,,,,,,,,
,Irlanda,,,,,,,,,,,,,
,Dinamarca,,,,,,,,,,,,,
,Lituania,,,,,,,,,,,,,
,Eslováquia,,,,,,,,,,,,,
,Bélgica,,,,,,,,,,,,,
,Áustria,,,,,,,,,,,,,
,Espanha,,,,,,,,,,,,,
,Polónia,,,,,,,,,,,,,
,Eslovénia,,,,,,,,,,,,,
,Portugal,,,165,,,93,,,69,,,-26%,
,Letónia,,,,,,,,,,,,,
,França,,,,,,,,,,,,,
,Croácia,,,,,,,,,,,,,
,Chipre,,,,,,,,,,,,,
,UE 28,,,114,,,63,,,49,,,-22%,
,Itália,,,,,,,,,,,,,
,República Checa,,,,,,,,,,,,,
,Roménia,,,,,,,,,,,,,
,Bulgária,,,,,,,,,,,,,
,Finlândia,,,,,,,,,,,,,
,Estónia,,,,,,,,,,,,,
,Hungria,,,,,,,,,,,,,
,Alemanha,,,,,,,,,,,,,
,Reino Unido,,,,,,,,,,,,,
,Luxemburgo,,,,,,,,,,,,,
,Holanda,,,,,,,,,,,,,
,Suécia,,,,,,,,,,,,,
,Malta,,,,,,,,,,,,,
