,,,,2000,,,2010,,,2018,,,2010/2018,
,Chipre,,,,,,,,,,,,,
,Finlândia,,,,,,,,,,,,,
,Grécia,,,,,,,,,,,,,
,Reino Unido,,,,,,,,,,,,,
,Eslovénia,,,,,,,,,,,,,
,Suécia,,,,,,,,,,,,,
,Itália,,,,,,,,,,,,,
,Bélgica,,,,,,,,,,,,,
,França,,,,,,,,,,,,,
,Dinamarca,,,,,,,,,,,,,
,Croácia,,,,,,,,,,,,,
,UE 28,,,3 083,,,2 250,,,2 007,,,-11%,
,Luxemburgo,,,,,,,,,,,,,
,Áustria,,,,,,,,,,,,,
,Portugal,,,4 472,,,3 522,,,3 498,,,-1%,
,Alemanha,,,,,,,,,,,,,
,Hungria,,,,,,,,,,,,,
,Bulgária,,,,,,,,,,,,,
,República Checa,,,,,,,,,,,,,
,Estónia,,,,,,,,,,,,,
,Espanha,,,,,,,,,,,,,
,Roménia,,,,,,,,,,,,,
,Eslovénia,,,,,,,,,,,,,
,Holanda,,,,,,,,,,,,,
,Malta,,,,,,,,,,,,,
,Eslováquia,,,,,,,,,,,,,
,Irlanda,,,,,,,,,,,,,
,Lituânia,,,,,,,,,,,,,
,Polónia,,,,,,,,,,,,,
