,,,,VM,,,,FG,,,,,FL,,,,,,Total de Vítimas,,,,
,,,,2018,,2019,,2018,,2019,,,2018,,,2019,,,2018,,,2019,
,Segunda-Feira,,64,,47,,,165,147,,,4 081,,,3 974,,,4 310,,,4 168,,
,Terça-Feira,,41,,42,,,147,184,,,3 560,,,4 062,,,3 748,,,4 288,,
,Quarta-Feira,,55,,40,,,177,152,,,3 860,,,4 002,,,4 092,,,4 194,,
,Quinta-Feira,,51,,58,,,148,175,,,3 861,,,4 142,,,4 060,,,4 375,,
,Sexta-Feira,,62,,60,,,175,214,,,4 202,,,4 306,,,4 439,,,4 580,,
,Sábado,,82,,68,,,205,275,,,3 478,,,3 887,,,3 765,,,4 230,,
,Domingo,,80,,68,,,216,244,,,3 139,,,3 381,,,3 435,,,3 693,,
,Total,,,435,,383,,1 233,,1 391,,,26 181,,,27 754,,,27 849,,,29 528,
