,,,,Feridos Graves,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,
,Continente,,2 475,,,2 265,,,1 941,,,1 946,,,2 010,,,2 148,,,1 999,,,2 117,,,1 995,,,2 168,,
,Região Autónoma dos Açores,,95,,,101,,,97,,,108,,,113,,,118,,,96,,,133,,,124,,,106,,
,Região Autónoma da Madeira,,79,,,92,,,90,,,81,,,74,,,79,,,85,,,75,,,90,,,109,,
,Portugal,,2 649,,,2 458,,,2 128,,,2 135,,,2 197,,,2 345,,,2 180,,,2 325,,,2 209,,,2 383,,
