,,,,<= 14,,15 - 19,,,20 - 24,,,25 - 29,,30 - 34,,,35 - 39,,,40 - 44,,,45 - 49,,50 - 54,,,55 - 59,,60 - 64,,>=65,
,População,,1 407 566,,552 744,,,538 705,,,547 330,,,576 115,,685 764,,,801 116,,,775 377,,749 983,,,728 938,,668 754,,,2 244 225,
,VM/Milhão hab.,,10,,44,,,64,,,25,,,38,,42,,,30,,,57,,31,,,36,,45,,,98,
