,,,,,,,,,,,,,Total,,
,,,AcVM,,,,,,,,,,,,Índice de
,AcV,%*,,%*,AcVM,%*,VM,%*,FG,%*,FL,%*,de,%*,
,,,ou AcFG,,,,,,,,,,,,Gravidade
,,,,,,,,,,,,,Feridos,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2010,35 426,-,2 832,-,857,-,937,-,2 475,-,43 890,-,46 365,-,2.6
2011,32 541,-,2 670,-6%,826,-4%,891,-5%,2 265,-8%,39 695,-,41 960,-,2.7
2012,29 867,8-%,2 289,-,667,-,718,-19%,1 941,-,36 164,-190%%,38 105,1-90%%,2.4
2013,30 339,82%%,2 202,-144%%,585,19-%,637,-11%,1 946,104%%,36 807,2%,38 753,2%,2.1
2014,30 604,1%,2 331,6%,603,132%%,638,0%,2 010,3%,37 005,1%,39 015,1%,2.1
2015,31 953,4%,2 374,2%,554,-8%,593,-7%,2 148,7%,38 808,5%,40 956,5%,1.9
2016,32 299,1%,2 215,-7%,529,-5%,563,-5%,1 999,-7%,39 106,1%,41 105,0%,1.7
2017,34 416,7%,2 408,9%,578,9%,602,7%,2 117,6%,41 776,7%,43 893,7%,1.7
2018,34 235,-,2 355,-2%,628,9%,675,12%,1 995,-6%,41 335,-1%,43 330,-1%,2.0
2019,35 704,14%%,2 421,3%,573,-9%,626,-7%,2 168,9%,43 183,4%,45 351,5%,1.8
