,,,,VM,,,,FG,,,,FL,,,,,Total de Vítimas,,
,,,,2018,,2019,,2018,,2019,,2018,,,2019,,2018,2019,
,Dia,,286,,,219,,836,834,,19 209,,,19 803,,20 331,,20 856,
,Noite,,133,,,145,,366,498,,6 283,,,6 804,,6 782,,7 447,
,Aurora/Crepúsculo,,16,,,19,,31,59,,689,,,1 134,,736,,1 212,
,N.D.,,0,,,0,,0,0,,0,,,13,,0,,13,
,Total,,,435,,383,,1 233,,1 391,,26 181,,,27 754,,27 849,29 528,
