,,,,VM,,,,,FG,,,,,FL,,,,,,Total de Vítimas,,,,
,,,,2018,,,2019,,2018,,,2019,,2018,,,2019,,,2018,,,2019,
,Veíc. Ligeiros,,78,,,98,,,321,,330,,8 757,,,9 010,,,9 156,,,9 438,,
,Veíc. Pesados,,3,,,1,,,10,,2,,387,,,295,,,400,,,298,,
,Velocípedes,,0,,,0,,,2,,1,,40,,,43,,,42,,,44,,
,Ciclomotores,,0,,,2,,,6,,2,,205,,,176,,,211,,,180,,
,Motociclos,,1,,,6,,,27,,27,,518,,,585,,,546,,,618,,
,Outros,,2,,,2,,,8,,6,,139,,,137,,,149,,,148,,
,Total,,84,,,109,,,374,,368,,10 046,,,10 249,,,10 504,,,10 726,,
