,,,VM,,,,,,FG,,,,,FL,,,,,,Total de Vítimas,,,,
,,,2018,,,2019,,,2018,,,2019,,2018,,,2019,,,2018,,,2019,
,Desvio brusco/ saída de fila de trânsito,,12,,9,,,26,,,31,,,332,,321,,,370,,,361,,
,Em marcha normal,,368,,327,,,1 068,,,1 181,,,22 113,,23 263,,,23 549,,,24 771,,
,Mudança de direção para a esquerda,,10,,8,,,28,,,34,,,945,,1 090,,,983,,,1 132,,
,Parado ou estacionado,,7,,2,,,6,,,11,,,659,,633,,,672,,,646,,
,Ultrapassagem pela esquerda,,14,,13,,,30,,,42,,,505,,597,,,549,,,652,,
,Outros,,22,,24,,,71,,,85,,,1 508,,1 645,,,1 601,,,1 754,,
,N.D.,,2,,0,,,4,,,7,,,119,,205,,,125,,,212,,
,Total,,435,,,383,,,1 233,,,1 391,,26 181,,,27 754,,,27 849,,,29 528,
