,VM,,FG,,FL,,Total de Vítimas,
,2018,2019,2018,2019,2018,2019,2018,2019
C/ capacete/ cinto segurança,74,83,327,295,8 349,8 548,8 750,8 926
C/ sistema retenção de crianças,1,3,11,20,1 053,980,1 065,1 003
S/ uso capacete/cinto segurança,9,20,32,49,528,589,569,658
S/ sistema retenção de crianças,0,2,2,4,45,67,47,73
N.D.,0,1,2,0,71,65,73,66
Total,84,109,374,368,10 046,10 249,10 504,10 726
