,,,,Feridos Leves,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,
,Continente,,43 890,,,39 695,,,36 164,,,36 807,,,37 005,,,38 808,,,39 106,,,41 776,,,41 335,,,43 183,,
,Região Autónoma dos Açores,,730,,,709,,,599,,,635,,,544,,,614,,,655,,,737,,,720,,,686,,
,Região Autónoma da Madeira,,1 034,,,930,,,840,,,880,,,864,,,899,,,931,,,901,,,1 066,,,1 065,,
,Portugal,,45 654,,,41 334,,,37 603,,,38 322,,,38 413,,,40 321,,,40 692,,,43 414,,,43 121,,,44 934,,
