,,,,VM,,,,,,FG,,,,,,FL,,,,,,Total de Vítimas,,,,
,,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,
,Desrespeito da sinalização vertical,,4,,,3,,,7,,,19,,,408,,,492,,,419,,,514,,
,Desrespeito das marcas rodoviárias,,1,,,4,,,2,,,10,,,43,,,82,,,46,,,96,,
,Encandeamento,,2,,,2,,,7,,,8,,,154,,,184,,,163,,,194,,
,Manobra irregular,,15,,,12,,,35,,,50,,,514,,,643,,,564,,,705,,
,Velocidade excessiva para as condições existentes,,26,,,38,,,85,,,116,,,1 593,,,1 540,,,1 704,,,1 694,,
,Outros,,7,,,9,,,26,,,58,,,963,,,1 509,,,996,,,1 576,,
,N.D.*,,380,,,315,,,1 071,,,1 130,,,22 506,,,23 304,,,23 957,,,24 749,,
,Total,,,435,,,383,,,1 233,,,1 391,,,26 181,,,27 754,,,27 849,,,29 528,
