,,,,VM,,,,,,FG,,,,,FL,,,,,,Total de Vítimas,,,,
,,,,2018,,,2019,,,2018,,2019,,,2018,,,2019,,,2018,,,2019,
,Com título de condução,,384,,,330,,,1 070,,1 193,,,23 882,,,25 065,,,25 336,,,26 588,,
,Sem título de condução,,25,,,21,,,51,,73,,,330,,,406,,,406,,,500,,
,Outras Situações,,25,,,26,,,103,,104,,,1 796,,,2 050,,,1 924,,,2 180,,
,N.D.,,1,,,6,,,9,,21,,,173,,,233,,,183,,,260,,
,Total,,,435,,,383,,,1 233,,1 391,,,26 181,,,27 754,,,27 849,,,29 528,
