,,VM,,FG,,FL,,Total de Vítimas,
,,2018,2019,2018,2019,2018,2019,2018,2019
,A sair ou entrar num veículo,14,2,43,11,438,143,495,156
,Atravessando em passagem,23,20,112,139,2 216,2 392,2 351,2 551
,sinalizada,,,,,,,,
,Atravessando em passagem,2,2,7,6,94,108,103,116
,sinalizada com desrespeito da,,,,,,,,
,sinalização semafórica,,,,,,,,
,Atravessando fora da passagem,14,13,24,44,325,377,363,434
,de peões a mais de 50m de uma,,,,,,,,
,passagem ou quando não exista,,,,,,,,
,passagem,,,,,,,,
,Atravessando fora da passagem,18,8,44,39,508,520,570,567
,"de peões, a menos de 50m de uma",,,,,,,,
Dentro das,passagem,,,,,,,,
localidades,Em ilhéu ou refúgio na via,1,1,3,4,52,43,56,48
,Em plena faixa de rodagem,35,29,43,53,550,531,628,613
,Em trabalhos na via,0,0,3,2,33,45,36,47
,Surgindo inesperadamente na,6,6,24,24,226,270,256,300
,faixa de rodagem de trás de um,,,,,,,,
,obstáculo,,,,,,,,
,Transitando pela berma ou,10,22,30,31,358,446,398,499
,passeio,,,,,,,,
,Transitando pela direita da faixa,0,5,13,13,117,121,130,139
,de rodagem,,,,,,,,
,Transitando pela esquerda da,2,1,5,4,35,58,42,63
,faixa de rodagem,,,,,,,,
,NÃO DEFINIDO,1,0,8,0,41,25,50,25
,Total,126,109,359,370,4 993,5 079,5 478,5 558
,,3,1,9,4,25,8,37,13
,A sair ou entrar num veículo,,,,,,,,
,Atravessando em passagem,0,0,1,1,3,9,4,10
,sinalizada,,,,,,,,
,Atravessando em passagem,0,0,0,0,0,0,0,0
,sinalizada com desrespeito da,,,,,,,,
,sinalização semafórica,,,,,,,,
,Atravessando fora da passagem,3,6,3,6,10,11,16,23
,de peões a mais de 50m de uma,,,,,,,,
,passagem ou quando não exista,,,,,,,,
,passagem,,,,,,,,
,Atravessando fora da passagem,0,0,0,1,2,3,2,4
,"de peões, a menos de 50m de uma",,,,,,,,
Fora das,passagem,,,,,,,,
localidades,Em ilhéu ou refúgio na via,1,0,0,0,4,2,5,2
,Em plena faixa de rodagem,13,14,7,15,22,24,42,53
,Em trabalhos na via,1,1,0,5,12,10,13,16
,Surgindo inesperadamente na,2,1,2,1,6,12,10,14
,faixa de rodagem de trás de um,,,,,,,,
,obstáculo,,,,,,,,
,Transitando pela berma ou,5,0,5,4,18,19,28,23
,passeio,,,,,,,,
,Transitando pela direita da faixa,1,1,1,0,7,2,9,3
,de rodagem,,,,,,,,
,Transitando pela esquerda da,1,0,1,2,5,1,7,3
,faixa de rodagem,,,,,,,,
,NÃO DEFINIDO,0,1,0,0,1,0,1,1
,Total,30,25,29,39,115,101,174,165
