,,<= 4 anos,,,,,,5 a 9 anos,,,,,,10 a 14 anos,,,,15 a 19 anos,,,,,,>= 20 anos,,,,,N.D.,,,,Total,,,,
,,2018,,2019,,,2018,,,2019,,,2018,,,2019,,2018,,2019,,,2018,,,2019,,,,2019,,,2018,,2019,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veíc. Ligeiros,,7 031,,7 790,,,6 940,,,6 862,,,8 926,,,8 666,,10 030,,9 580,,,9 181,,,10 571,,,294,465,,,42 402,,43 934,,
Veíc. Pesados,,288,,321,,,299,,,336,,,495,,,410,,322,,314,,,206,,,217,,,15,22,,,1 625,,1 620,,
Ciclomotores,,388,,437,,,468,,,293,,,599,,,634,,251,,190,,,768,,,809,,,16,15,,,2 490,,2 378,,
Motociclos,,2 400,,2 921,,,1 357,,,1 522,,,749,,,915,,713,,647,,,768,,,1 067,,,24,29,,,6 011,,7 101,,
Outros,,480,,358,,,201,,,143,,,173,,,174,,144,,122,,,157,,,114,,,1 597,2 099,,,2 752,,3 010,,
N.D.,,3,,18,,,0,,,0,,,0,,,0,,0,,0,,,0,,,0,,,188,238,,,191,,256,,
Total,,10 590,,,11 845,,,9 265,,,9 156,,,10 942,,,10 799,11 460,,,10 853,,,11 080,,,12 778,,2 134,,2 868,,55 471,,,58 299,
