,Homens,,Mulheres,,
,,,,,Total
,,,,,
,,%,,%,
,,,,,
Até 24 anos,361.268,"56,91",273.549,"43,09",
,,,,,634.817
,,,,,
25-44 anos,1.285.357,"57,63",944.878,"42,37",
,,,,,2.230.235
,,,,,
45-64 anos,918.732,"71,68",362.991,"28,32",
,,,,,1.281.723
,,,,,
65-74 anos,281.758,"83,35",56.294,"16,65",
,,,,,338.052
,,,,,
> 74 anos,140.447,"89,89",15.803,"10,11",
,,,,,156.250
,,,,,
Total,2.987.562,"64,37",1.653.515,"35,63",
,,,,,4.641.077
