,,Inspecções,,,
,,2001,2002,"02/01
%",
Janeiro,,320.394,356.189,"11,2",
,,320.394,,,
Fevereiro,,279.690,319.818,"14,3",
,,279.690,,,
Março,,348.560,370.745,"6,4",
,,348.560,,,
Abril,,313.866,379.765,"21,0",
,,313.866,,,
Maio,,361.730,393.354,"8,7",
,,361.730,,,
Junho,,329.077,355.512,"8,0",
,,329.077,,,
Julho,,358.208,427.098,"19,2",
,,358.208,,,
Agosto,,297.615,343.126,"15,3",
,,297.615,,,
Setembro,,259.270,303.601,"17,1",
,,259.270,,,
Outubro,,319.258,359.853,"12,7",
,,319.258,,,
Novembro,,319.535,351.527,"10,0",
,,319.535,,,
Dezembro,,313.500,376.559,"20,1",
,,313.500,,,
,Total,3.820.703,4.337.147,"13,5",
