,,,,,,,,,,,,,,
,Mortos,,,,,,,Feridos graves,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Peões,,,,,,Total,,,,,,,Total
,,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(2),,,,,,,(2)
REGIÃO,85,,,,,,,,,,,,,
NORTE,,174,4,37,57,4,372,230,423,13,121,104,14,909
,,,,,,,,,,,,,,
Braga,24,37,1,16,23,1,105,89,140,8,43,34,2,317
,,,,,,,,,,,,,,
Bragança,3,18,1,3,1,0,31,10,46,0,6,4,2,69
,,,,,,,,,,,,,,
Porto,39,72,2,14,23,2,152,103,134,3,47,52,7,347
,,,,,,,,,,,,,,
V.Castelo,16,21,0,2,8,1,49,9,58,2,12,9,3,93
,,,,,,,,,,,,,,
V.Real,3,26,0,2,2,0,35,19,45,0,13,5,0,83
,,,,,,,,,,,,,,
