,,,,,,,,,
,1998,1999,99/98,2000,00/99,2001,01/00,2002,02/01
,,,,,,,,,
,,,,,,,,,
Vítimas mortais,439,383,-56,376,-7,332,-44,340,8
Veículos ligeiros,374,326,-48,325,-1,257,-68,304,47
Veículos pesados,11,12,1,9,-3,28,19,6,-22
Velocípedes,0,1,1,1,0,0,-1,0,0
Ciclomotores,17,18,1,16,-2,16,0,8,-8
Motociclos,30,23,-7,19,-4,25,6,18,-7
Outros,7,3,-4,6,3,6,0,4,-2
,,,,,,,,,
Feridos Graves,1987,2045,58,1776,-269,1565,-211,1239,-326
Veículos ligeiros,1537,1668,131,1449,-219,1272,-177,1039,-233
Veículos pesados,66,37,-29,39,2,66,27,39,-27
Velocípedes,8,4,-4,3,-1,8,5,4,-4
Ciclomotores,200,185,-15,113,-72,79,-34,72,-7
Motociclos,151,132,-19,159,27,128,-31,76,-52
Outros,25,19,-6,13,-6,12,-1,9,-3
,,,,,,,,,
Feridos Leves,18540,18532,-8,17216,-1316,16008,-1208,16002,-6
Veículos ligeiros,14971,15409,438,14640,-769,13721,-919,13972,251
Veículos pesados,722,621,-101,576,-45,546,-30,498,-48
Velocípedes,54,107,53,49,-58,48,-1,33,-15
Ciclomotores,1891,1447,-444,1127,-320,896,-231,771,-125
Motociclos,783,856,73,758,-98,732,-26,620,-112
Outros,119,92,-27,66,-26,65,-1,108,43
,,,,,,,,,
Total vítimas,20966,20960,-6,19368,-1592,17905,-1463,17581,-324
Veículos ligeiros,16882,17403,521,16414,-989,15250,-1164,15315,65
Veículos pesados,799,670,-129,624,-46,640,16,543,-97
Velocípedes,62,112,50,53,-59,56,3,37,-19
Ciclomotores,2108,1650,-458,1256,-394,991,-265,851,-140
Motociclos,964,1011,47,936,-75,885,-51,714,-171
Outros,151,114,-37,85,-29,83,-2,121,38
