,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,2001,2002,2001,2002,2001,2002,2001,2002
"REGIÃO
CENTRO",436,405,1478,1109,14361,15390,16275,
,,,,,,,,16904
,,,,,,,,
Aveiro,105,128,429,318,4480,4538,5014,
,,,,,,,,4984
C. Branco,26,29,127,96,750,753,903,
,,,,,,,,878
Coimbra,96,69,193,122,2979,3076,3268,
,,,,,,,,3267
Guarda,40,31,98,122,781,876,919,
,,,,,,,,1029
Leiria,101,97,456,311,3926,3873,4483,
,,,,,,,,4281
Viseu,68,51,175,140,1445,2274,1688,
,,,,,,,,2465
