,,,Feridos graves,,
REGIÃO DO ALGARVE,,Mortos,,Feridos leves,Total vítimas
,,,,,
,Peões,,63,,
,,22,,386,471
,,,,,
,Ligeiros*,,162,,
,,69,,1886,2117
,,,,,
Faro,Pesados*,,2,,
,,0,,28,30
,,,,,
,Ciclomotores*,,62,,
,,17,,608,687
,,,,,
,Motociclos*,,49,,
,,21,,365,435
,,,,,
,Velocípedes*,,13,,
,,9,,113,135
,,,,,
,Total (2),,353,,
,,141,,3395,3889
,,,,,
