,,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,2001,2002,2001,2002,2001,2002,2001,2002
,"REGIÃO DE
LISBOA
E VALE TEJO",418,410,2435,1926,15620,16429,18473,18765
Lisboa,,184,171,1157,833,9383,9385,10724,10389
Santarém,,112,124,743,636,2651,3009,3506,3769
Setúbal,,122,115,535,457,3586,4035,4243,4607
