,,,,,,,,,,,,,,
,Feridos leves,,,,,,,Total de vítimas,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Total,,,,,,,Total
,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(2),,,,,,,(2)
REGIÃO,,,,,,,,,,,,,,
CENTRO,1346,9772,269,2344,1045,473,15390,1595,10571,301,2554,1187,534,16904
,,,,,,,,,,,,,,
Aveiro,403,2550,55,977,316,210,4538,483,2749,60,1062,364,237,4984
,,,,,,,,,,,,,,
C. Branco,55,560,16,56,44,12,753,76,635,18,66,54,16,878
,,,,,,,,,,,,,,
Coimbra,316,1881,61,453,245,85,3076,354,1972,65,478,270,93,3267
,,,,,,,,,,,,,,
Guarda,68,651,40,58,39,7,876,90,739,50,72,52,9,1029
,,,,,,,,,,,,,,
Leiria,317,2525,62,544,267,120,3873,375,2765,66,594,298,137,4281
,,,,,,,,,,,,,,
Viseu,187,1605,35,256,134,39,2274,217,1711,42,282,149,42,2465
,,,,,,,,,,,,,,
