,,"Acidentes com
vítimas",,"Acidentes com mortos
e/ou f. graves",,"Acidentes com
mortos",,"Indice
de gravidade",
,,2001,2002,2001,2002,2001,2002,2001,2002
"REGIÃO
CENTRO",,11781,12348,1499,1188,390,367,"3,7","3,3"
Aveiro,,3726,3730,433,352,98,115,"2,8","3,4"
C. Branco,,605,611,113,94,25,27,"4,3","4,7"
Coimbra,,2441,2488,223,161,88,64,"3,9","2,8"
Guarda,,628,694,99,112,38,28,"6,4","4,5"
Leiria,,3274,3122,466,317,91,84,"3,1","3,1"
Viseu,,1107,1703,165,152,50,49,"6,1","3,0"
