,"Acidentes
com vítimas","Acidentes com
mortos e/ou
f. graves","Acidentes
com
mortos",Mortos,"Feridos
graves","Feridos
leves"
REGIÃO DO ALGARVE,,,,,,
,,,,,,
Faro,2921,396,119,141,353,3395
,,,,,,
Dentro Localidade,1289,138,23,27,132,1404
,,,,,,
Fora Localidade,1632,258,96,114,221,1991
,,,,,,
