,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,,,,,,166,,,,,,,
,,139,137,171,140,158,,244,211,190,170,165,186,2077
,Acid.c/ mortos e f.graves,,,,,,43,,,,,,,
,,32,32,40,26,23,,62,43,43,42,34,42,462
REGIÃO,Acid.com mortos,,,,,,16,,,,,,,
,,9,9,11,11,7,,19,18,9,8,8,8,133
ALENTEJO,Mortos,,,,,,18,,,,,,,
,,10,9,11,12,7,,20,18,9,10,8,9,141
,F.Graves,,,,,,44,,,,,,,
,,34,28,46,22,22,,62,44,38,54,31,48,473
,F.Leves,,,,,,202,,,,,,,
,,171,172,190,170,182,,268,263,209,183,203,208,2421
,Acidentes com vítimas,,,,,,55,,,,,,,
,,50,41,54,34,52,,94,87,70,71,54,68,730
,Acid.c/ mortos e f.graves,,,,,,9,,,,,,,
,,10,10,13,7,6,,24,22,12,13,11,18,155
Beja,Acid.com mortos,,,,,,2,,,,,,,
,,4,3,6,5,2,,11,9,5,4,5,4,60
,Mortos,,,,,,2,,,,,,,
,,4,3,6,5,2,,12,9,5,4,5,4,61
,F.Graves,,,,,,8,,,,,,,
,,11,9,14,5,6,,24,29,8,16,7,21,158
,F.Leves,,,,,,66,,,,,,,
,,65,54,72,39,64,,104,113,89,89,70,74,899
,Acidentes com vítimas,,,,,,64,,,,,,,
,,56,65,63,59,50,,92,74,73,58,68,82,804
,Acid.c/ mortos e f.graves,,,,,,17,,,,,,,
,,15,14,13,11,8,,21,16,11,19,14,14,173
Évora,Acid.com mortos,,,,,,9,,,,,,,
,,5,4,3,4,2,,5,7,2,4,2,4,51
,Mortos,,,,,,10,,,,,,,
,,6,4,3,5,2,,5,7,2,6,2,5,57
,F.Graves,,,,,,14,,,,,,,
,,14,13,16,11,8,,22,12,9,26,13,14,172
,F.Leves,,,,,,80,,,,,,,
,,73,75,63,66,60,,101,86,78,51,82,95,910
,Acidentes com vítimas,,,,,,47,,,,,,,
,,33,31,54,47,56,,58,50,47,41,43,36,543
,Acid.c/ mortos e f.graves,,,,,,17,,,,,,,
,,7,8,14,8,9,,17,5,20,10,9,10,134
Portalegre,Acid.com mortos,,,,,,5,,,,,,,
,,0,2,2,2,3,,3,2,2,0,1,0,22
,Mortos,,,,,,6,,,,,,,
,,0,2,2,2,3,,3,2,2,0,1,0,23
,F.Graves,,,,,,22,,,,,,,
,,9,6,16,6,8,,16,3,21,12,11,13,143
,F.Leves,,,,,,56,,,,,,,
,,33,43,55,65,58,,63,64,42,43,51,39,612
