,2002,,,
REGIÕES AUTÓNOMAS (1),"Acidentes com
vítimas",Mortos,Feridos graves,Feridos leves
Total,__,59,308,2144
Madeira (1),__,26,181,1294
Açores,744,33,127,850
Equiparado Ponta Delgada a),443,13,58,568
Equiparado Angra Heroísmo b),194,13,46,186
Equiparado da Horta c),107,7,23,96
