,TIPO DE INFRACÇÃO,NÚMERO,
Infracções Muito Graves,,,
,Condução com excesso de álcool no sangue,57,
,Excesso de velocidade,48,
,Sub-total,105,
Infracções Graves,,,
Excesso de velocidade,,2181,
,Desrespeito pela obrigação de parar,1085,
,Transposição linha contínua,281,
,Prioridade de passagem,132,
,Condução com excesso de álcool no sangue,121,
,Sub-total,3800,
Infracções Leves,,,
Paragem ou estacionamento proibido,,28471,
,Desrespeito da sinalização,2959,
,Não utilização do cinto,1818,
,Falta apresentação documentos,1330,
,Excesso de velocidade,302,
,Sub-total,34880,
