,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,,,,,
,,,,,,,,,,,,
Dia (1),29770,29558,811,798,3536,2995,35595,36072,39942,39865,"2,7","2,7"
,,,,,,,,,,,,
Bom tempo,24599,23686,682,646,2869,2436,28988,28431,32539,31513,"2,8","2,7"
Chuva,4937,5621,120,142,629,526,6297,7308,7046,7976,"2,4","2,5"
Outros (2),215,197,8,10,35,28,288,257,331,295,"3,7","5,1"
Noite (1),12651,12411,652,665,2252,1750,15556,15484,18460,17899,"5,2","5,4"
,,,,,,,,,,,,
Bom tempo,9810,9024,521,500,1750,1335,11994,11193,14265,13028,"5,3","5,5"
Chuva,2638,3182,121,155,454,375,3306,4024,3881,4554,"4,6","4,9"
Outros (2),192,188,10,10,47,33,244,253,301,296,"5,2","5,3"
Não definido (1),100,250,3,6,9,25,96,259,108,290,"3,0","2,4"
Bom tempo,9,13,0,0,1,0,9,18,10,18,-,-
Chuva,4,2,0,1,0,0,4,1,4,2,-,-
Outros (2),3,1,1,1,0,0,2,0,3,1,-,-
Total dia e noite,42421,41969,1463,1463,5788,4745,51151,51556,58402,57764,"3,4","3,5"
,,,,,,,,,,,,
Bom tempo,34418,32723,1203,1146,4620,3771,40991,39642,46814,44559,"3,5","3,5"
Chuva,7579,8805,241,298,1083,901,9607,11333,10931,12532,"3,2","3,4"
Outros (2),410,386,19,21,82,61,534,510,635,592,"4,6","5,4"
