,,Acidentes,,,,
,Acidentes,com mortos,Acidentes,Mortos,Feridos,Feridos leves
,com vítimas,,com mortos,,graves,
,,e/ou f. graves,,,,
,,,,,,
REGIÃO ALENTEJO,2077,462,133,141,473,2421
,,,,,,
Dentro Localidade,674,107,17,17,99,714
Fora Localidade,1403,355,116,124,374,1707
Beja,730,155,60,61,158,899
Dentro Localidade,168,22,6,6,21,183
Fora Localidade,562,133,54,55,137,716
Évora,804,173,51,57,172,910
Dentro Localidade,301,43,8,8,36,329
Fora Localidade,503,130,43,49,136,581
Portalegre,543,134,22,23,143,612
Dentro Localidade,205,42,3,3,42,202
Fora Localidade,338,92,19,20,101,410
