Distrito de Faro,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN125,38.700,38.850,5,11,1,2,4,132
EN125,50.700,50.900,7,17,0,0,12,36
EN125,51.400,51.600,7,20,0,0,10,30
EN125,68.500,68.600,6,11,1,1,8,134
EN125,82.100,82.300,6,9,1,0,6,118
EN125,86.300,86.400,5,9,0,1,5,25
EN125,95.600,95.800,6,8,0,3,4,42
EN125,98.600,98.800,8,17,0,1,8,34
EN125,102.200,102.400,6,15,0,2,7,41
EN125,111.500,111.700,8,16,0,2,16,68
EN125,112.400,112.600,8,12,0,1,9,37
EN125,113.000,113.200,8,11,0,1,7,31
EN125,113.400,113.600,9,16,1,0,8,124
EN125,114.000,114.200,6,8,0,0,7,21
EN125-10,0.800,1.000,6,11,0,0,7,21
EN269-1,6.700,6.900,5,13,2,0,4,212
EN395,59.500,59.650,7,14,0,3,12,66
EN395,59.900,60.100,7,11,0,1,9,37
,,,,,,,,
,,Total,120,229,6,18,143,
