,,,Condutores interv. em,,,
,Condutores interv. em,,,,Condutores interv. em,
,,,acidentes com mortos e/ou,,,
,acidentes com vítimas,,,,acidentes com mortos,
,,,feridos graves,,,
,,,,,,
,2001,2002,2001,2002,2001,2002
,,,,,,
,,,,,,
< 1 ano,3001,2993,339,300,78,77
,,,,,,
1 ano,5958,5155,726,523,153,119
,,,,,,
2 anos,4875,5005,612,539,130,155
,,,,,,
3 anos,4347,4210,534,468,108,127
,,,,,,
4 anos,3781,3668,478,411,97,123
,,,,,,
5 anos,3599,3243,452,346,92,88
,,,,,,
6 anos,3185,3164,389,335,90,99
,,,,,,
7 anos,3071,2761,366,276,81,71
,,,,,,
8 anos,2986,2696,341,280,79,77
,,,,,,
9 anos,2709,2799,338,254,73,68
,,,,,,
10-14 anos,8219,9094,944,981,208,256
,,,,,,
15-19 anos,4762,4877,628,552,145,158
,,,,,,
>= 20 anos,12925,12882,1626,1423,403,389
,,,,,,
Não definidos,4027,3605,621,517,104,117
,,,,,,
Sem carta,2078,1835,487,364,130,78
,,,,,,
Total (1),70524,68979,9035,7716,2005,2039
