,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,
Segunda,41,33,173,155,2035,1890,2249,2078
,,,,,,,,
Terça,34,27,183,128,1765,1885,1982,2040
,,,,,,,,
Quarta,37,42,159,126,1761,1819,1957,1987
,,,,,,,,
Quinta,39,29,116,134,1676,1763,1831,1926
,,,,,,,,
Sexta,40,59,232,178,2249,2308,2521,2545
,,,,,,,,
Sábado,66,55,314,199,2933,2730,3313,2984
,,,,,,,,
Domingo,75,95,388,319,3589,3607,4052,4021
,,,,,,,,
Total,332,340,1565,1239,16008,16002,17905,17581
