,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,
"REGIÃO
NORTE",384,372,1051,909,15326,14180,16761,
,,,,,,,,15461
,,,,,,,,
Braga,95,105,290,317,3971,4211,4356,
,,,,,,,,4633
Bragança,37,31,96,69,558,592,691,
,,,,,,,,692
Porto,182,152,492,347,8611,6982,9285,
,,,,,,,,7481
V. Castelo,38,49,69,93,1291,1383,1398,
,,,,,,,,1525
V. Real,32,35,104,83,895,1012,1031,
,,,,,,,,1130
