,,,,,,
,,,Acidentes com mortos,,,
,Acidentes com vítimas,,,,Acidentes com mortos,
,,,e/ou feridos graves,,,
,,,,,,
,,,,,,
,,,,,,
,2001,2002,2001,2002,2001,2002
,,,,,,
,,,,,,
Velocípedes,1429,1413,198,202,47,57
Dentro Localidade,1138,1142,144,137,23,30
Fora Localidade,291,271,54,65,24,27
Ciclomotores,7202,6184,908,725,161,132
Dentro Localidade,5541,4740,620,488,94,62
Fora Localidade,1661,1444,288,237,67,70
Motociclos,5306,4827,982,727,210,213
Dentro Localidade,3934,3570,634,486,110,126
Fora Localidade,1372,1257,348,241,100,87
Veículos ligeiros,52896,53392,6230,5414,1333,1360
Dentro Localidade,35441,35044,3503,2986,532,519
Fora Localidade,17455,18348,2727,2428,801,841
Veículos pesados,3513,3323,643,600,202,224
Dentro Localidade,1948,1759,310,281,80,83
Fora Localidade,1565,1564,333,319,122,141
Total (1),70909,69703,9084,7785,2011,2041
Dentro Localidade,48338,46592,5280,4440,872,849
Fora Localidade,22571,23111,3804,3345,1139,1192
