,,,,,,,,,,,,,,
,Feridos leves,,,,,,,Total de vítimas,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Total,,Ligeiro*,,,,,Total
,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,,Peões,,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(2),,,,,,,(2)
REGIÃO,,,,,,,,,11340,,,,,
LISBOAE,2713,10155,412,1212,1535,313,16429,3209,,466,1429,1834,384,18765
V. TEJO,,,,,,,,,,,,,,
Lisboa,1955,5545,226,491,1016,122,9385,2262,5996,257,543,1163,137,10389
Santarém,217,2069,102,339,164,87,3009,302,2488,118,457,242,118,3769
Setúbal,541,2541,84,382,355,104,4035,645,2856,91,429,429,129,4607
