,Total de vítimas,,,,,,,
,Condutores,,Passageiros,,Peões,,Total de utentes,
,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,
Auto-Estrada,1515,1683,1350,1483,30,34,2895,3200
Estrada Nacional,11216,11236,6589,6473,1236,1148,19041,18857
Dentro Localidade,5034,4967,2707,2575,840,774,8581,8316
Fora Localidade,6182,6269,3882,3898,396,374,10460,10541
IP/IC,1795,1986,1467,1414,75,75,3337,3475
Dentro Localidade,213,157,119,94,17,21,349,272
Fora Localidade,1582,1829,1348,1320,58,54,2988,3203
Estrada Municipal,4508,4582,2143,2228,547,478,7198,7288
Dentro Localidade,1915,1900,798,769,349,313,3062,2982
Fora Localidade,2593,2682,1345,1459,198,165,4136,4306
Arruamentos,12802,12521,5793,5521,5999,5941,24594,23983
Outras (1),786,735,563,462,96,54,1445,1251
Dentro Localidade,370,352,265,203,77,32,712,587
Fora Localidade,416,383,298,259,19,22,733,664
Total da rede,32622,32743,17905,17581,7983,7730,58510,58054
Dentro Localidade,20334,19897,9682,9162,7282,7081,37298,36140
Fora Localidade,12288,12846,8223,8419,701,649,21212,21914
