,,"Parque automóvel em
circulação (1)",Condutores vítimas,"Cond. vitimas/1000 veíc.
em circulação"
,Veículos ligeiros,4654107,20470,"4,4"
,Veículos pesados,149254,614,"4,1"
,Motociclos,153760,4387,"28,5"
