,,Acidentes,Manobras perigosas,Aleatórias
,Fiscalizações,"25,4","2,7","71,9"
,"TAS>=0,50 g/l","3,3","5,6","3,1"
,"TAS>=1,20 g/l","2,0","2,7","1,2"
