,1998,1999,2000,2001,2002,
,411.691,450.361,457.251,394.848,343.250,
,7.177,8.816,8.902,8.127,6.000,
Passageiros,1.069,1.206,1.458,1.265,1.016,
Mercadorias (1),6.108,7.610,7.444,6.862,4.984,
,29.337,22.927,22.181,22.102,19.192,
,12.624,14.684,14.798,14.991,12.928,
,14.051,15.621,15.257,14.193,12.773,
Total,474.880,512.409,518.389,454.261,394.143,
