,,,Grupos etários,,,,,,,,,,,,
,,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,Total(1)
,,2001,356,3222,8247,7860,6056,5381,4497,3732,3133,2362,1996,3165,
,,,,,,,,,,,,,,,51349
Colisão,,2002,345,2927,7480,7614,6075,5180,4531,3665,3130,2454,1909,3316,
,Colisão,,,,,,,,,,,,,,49577
,,02/01,-11,-295,-767,-246,19,-201,34,-67,-3,92,-87,151,
,,,,,,,,,,,,,,,-1772
,,2001,30,940,2392,2003,1391,1142,943,684,544,385,334,653,
,,,,,,,,,,,,,,,11919
Despiste,,2002,33,986,2370,2076,1541,1228,1054,770,560,429,393,723,
,Despiste,,,,,,,,,,,,,,12413
,,02/01,3,46,-22,73,150,86,111,86,16,44,59,70,
,,,,,,,,,,,,,,,494
,,2001,23,398,1233,1031,927,698,637,520,442,313,247,363,
,,,,,,,,,,,,,,,7256
Atropelamento,,2002,11,359,1073,1103,877,735,623,519,423,361,258,361,
,Atropelamento,,,,,,,,,,,,,,6989
,,02/01,-12,-39,-160,72,-50,37,-14,-1,-19,48,11,-2,
,,,,,,,,,,,,,,,-267
,,2001,409,4560,11872,10894,8374,7221,6077,4936,4119,3060,2577,4181,
,,,,,,,,,,,,,,,70524
Total,,2002,389,4272,10923,10793,8493,7143,6208,4954,4113,3244,2560,4400,
,Total,,,,,,,,,,,,,,68979
,,02/01,-20,-288,-949,-101,119,-78,131,18,-6,184,-17,219,
,,,,,,,,,,,,,,,-1545
