,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,
Dia,501,493,1945,1676,20080,20585,22526,22754
,,,,,,,,
Com sol encandeante,6,9,20,16,131,138,157,163
,,,,,,,,
Em pleno dia,495,484,1925,1660,19949,20447,22369,22591
,,,,,,,,
Noite,337,333,1188,935,8523,8576,10048,9844
,,,,,,,,
De noite em via com iluminação,156,136,685,551,5402,5488,6243,6175
De noite em via sem iluminação,181,197,503,384,3121,3088,3805,3669
,,,,,,,,
Total (1),838,832,3134,2625,28650,29286,32622,32743
