,,Acidentes,,,,
,Acidentes,,Acidentes,,,
,,com mortos,,,Feridos,Feridos
,com,,com,Mortos,,
,,e/ou,,,graves,leves
,vítimas,,mortos,,,
,,f. graves,,,,
,,,,,,
REGIÃO LISBOA E VALE TEJO,13961,1896,366,410,1926,16429
,,,,,,
Dentro Localidade,9673,1252,173,191,1289,10779
Fora Localidade,4288,644,193,219,637,5650
,,,,,,
Lisboa,7980,855,155,171,833,9385
,,,,,,
Dentro Localidade,6066,659,88,101,666,6807
,,,,,,
Fora Localidade,1914,196,67,70,167,2578
,,,,,,
Santarém,2635,586,108,124,636,3009
,,,,,,
Dentro Localidade,1515,346,47,49,373,1556
,,,,,,
Fora Localidade,1120,240,61,75,263,1453
Setúbal,3346,455,103,115,457,4035
,,,,,,
Dentro Localidade,2092,247,38,41,250,2416
Fora Localidade,1254,208,65,74,207,1619
,,,,,,
