2. Veículos importados usados segundo,,
"a idade do veículo, em 2002",,
,,
,Nº de Veículos,
,,%
,292,"0,8"
,2626,"7,0"
,3315,"8,8"
,4743,"12,6"
,5185,"13,8"
,15398,"41,0"
,4324,"11,5"
,1706,"4,5"
,,
,,
,,
,,
,,
Total (1),37589,"100,0"
