,,,,,,,,,
,1998,1999,99/98,2000,00/99,2001,01/00,2002,02/01
,,,,,,,,,
Vítimas mortais,1865,1750,-115,1629,-121,1466,-163,1469,3
Condutores,1070,1022,-48,916,-106,838,-78,832,-6
Passageiros,439,383,-56,376,-7,332,-44,340,8
Peões,356,345,-11,337,-8,296,-41,297,1
Feridos Graves,8177,7697,-480,6918,-779,5797,-1121,4770,-1027
Condutores,4479,4115,-364,3777,-338,3134,-643,2625,-509
Passageiros,1987,2045,58,1776,-269,1565,-211,1239,-326
Peões,1711,1537,-174,1365,-172,1098,-267,906,-192
Feridos Leves,58426,57630,-796,53006,-4624,51247,-1759,51815,568
Condutores,32901,32253,-648,29316,-2937,28650,-666,29286,636
Passageiros,18540,18532,-8,17216,-1316,16008,-1208,16002,-6
Peões,6985,6845,-140,6474,-371,6589,115,6527,-62
Total,68468,67077,-1391,61553,-5524,58510,-3043,58054,-456
Condutores,38450,37390,-1060,34009,-3381,32622,-1387,32743,121
Passageiros,20966,20960,-6,19368,-1592,17905,-1463,17581,-324
Peões,9052,8727,-325,8176,-551,7983,-193,7730,-253
