,2001,,,
REGIÕES AUTÓNOMAS (1),"Acidentes com
vítimas",Mortos,Feridos graves,Feridos leves
Total,1687,49,350,1836
Madeira,932,27,197,999
Açores,755,22,153,837
Equiparado Ponta Delgada a),478,16,69,539
Equiparado Angra Heroísmo b),184,4,60,201
Equiparado da Horta c),93,2,24,97
