,TIPO DE INFRACÇÃO,NÚMERO,
Infracções Muito Graves,,,
,Condução com excesso de álcool no sangue,117,
,Excesso de velocidade,7,
,Sub-total,124,
Infracções Graves,,,
Excesso de velocidade,,268,
,Transposição linha contínua,293,
,Desrespeito pela obrigação de parar,245,
,Condução com excesso de álcool no sangue,138,
,Prioridade de passagem,52,
,Sub-total,996,
Infracções Leves,,,
Paragem ou estacionamento proibido,,6697,
,Desrespeito da sinalização,2949,
,Falta apresentação documentos,1520,
,Não utilização do cinto,1253,
,Excesso de velocidade,958,
,Sub-total,13377,
