,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,
Dentro das localidades (1),195,197,959,794,6128,6090,7282,7081
,,,,,,,,
DIa,103,98,663,543,4694,4558,5460,5199
,,,,,,,,
Noite,89,99,289,241,1403,1450,1781,1790
,,,,,,,,
Fora das localidades (1),101,100,139,112,461,437,701,649
,,,,,,,,
DIa,33,29,80,53,280,272,393,354
,,,,,,,,
Noite,68,71,59,59,180,165,307,295
,,,,,,,,
Total (1),296,297,1098,906,6589,6527,7983,7730
DIa,136,127,743,596,4974,4830,5853,5553
,,,,,,,,
Noite,157,170,348,300,1583,1615,2088,2085
