,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Colisão,24149,23428,634,662,2916,2470,31553,31082,35103,34214,"2,6","2,8"
Dentro Localidade,16960,16209,255,243,1689,1349,21350,20549,23294,22141,"1,5","1,5"
Fora Localidade,7189,7219,379,419,1227,1121,10203,10533,11809,12073,"5,3","5,8"
,,,,,,,,,,,,
Despiste,11060,11662,536,508,1754,1397,13040,14123,15330,16028,"4,8","4,4"
Dentro Localidade,5129,5249,181,173,702,595,5840,6120,6723,6888,"3,5","3,3"
Fora Localidade,5931,6413,355,335,1052,802,7200,8003,8607,9140,"6,0","5,2"
,,,,,,,,,,,,
Atropelamento,7312,7129,296,299,1127,903,6654,6610,8077,7812,"4,0","4,2"
Dentro Localidade,6646,6525,196,197,974,795,6111,6119,7281,7111,"2,9","3,0"
Fora Localidade,666,604,100,102,153,108,543,491,796,701,"15,0","16,9"
,,,,,,,,,,,,
Total,42521,42219,1466,1469,5797,4770,51247,51815,58510,58054,"3,4","3,5"
Dentro Localidade,28735,27983,632,613,3365,2739,33301,32788,37298,36140,"2,2","2,2"
Fora Localidade,13786,14236,834,856,2432,2031,17946,19027,21212,21914,"6,0","6,0"
