,,Extensão,milhões veículos x km,
,,,2001,2002
A1,,"295,2",4502,4592
A2,,"234,2",1231,1504
,A3,"106,5",953,975
,A4,"51,3",653,667
A5,,"25,0",1050,1064
,A6,"157,9",321,369
,A7,"20,8",111,114
A9,,"34,4",549,567
,A12,"24,2",220,236
,A13,"29,5",-,13
A14,,"39,9",78,124
Nó de Braga Sul (A3),,"3,1",-,4
,,"1022,0",9668,10229
