,,,,,,,,,,,,,,
,Mortos,,,,,,,Feridos graves,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Motoc*,,Total,,Ligeiro*,,,,,Total
,Peões,Ligeiro*,Pesado*,Ciclom*,,Veloc*.,,Peões,,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(1),,,,,,,(1)
REGIÃO,,,,,44,,,,447,,,,,
CENTRO,49,140,13,34,,14,308,161,,19,162,99,49,951
,,,,,,,,,,,,,,
Aveiro,12,24,4,13,8,5,67,51,94,3,71,34,16,270
C. Branco,2,15,0,4,6,1,29,17,56,2,18,13,5,115
Coimbra,12,30,4,5,12,4,72,17,65,3,13,7,6,113
Guarda,2,8,0,1,3,1,19,15,33,0,9,5,2,67
Leiria,14,39,1,6,8,2,71,35,133,7,23,20,11,230
Viseu,7,24,4,5,7,1,50,26,66,4,28,20,9,156
