,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005
Segunda,37,33,118,125,2001,1800,2156,1958
Terça,25,29,97,98,1556,1587,1678,1714
Quarta,29,27,106,112,1790,1531,1925,1670
Quinta,28,22,118,88,1741,1513,1887,1623
Sexta,32,30,146,102,1990,1878,2168,2010
Sábado,47,50,208,182,2543,2533,2798,2765
Domingo,56,41,250,198,3204,3089,3510,3328
Total,254,232,1043,905,14825,13931,16122,15068
,,,,,,,,
