,"Parque
automóvel em","Cond.
mortos","Cond.
vítimas","Cond.
intervenientes",Condutores por 1000,
,,,,,veículos em circulação,
,circulação*,,,,Vítimas,Interv.
Veículos ligeiros,5063509,346,18161,46209,"3,6","9,1"
Veículos pesados,150435,21,561,2798,"3,7","18,6"
Motociclos,152306,146,3847,4190,"25,3","27,5"
