,,,,,,,,,,,,,,
,Feridos leves,,,,,,,Total de vítimas,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Total,,,,,,,Total
,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(1),,,,,,,(1)
REGIÃO,,,,,,,,,,,,,,
CENTRO,1148,8274,317,1935,854,511,13193,1358,8861,349,2131,997,574,14452
,,,,,,,,,,,,,,
Aveiro,339,2168,104,801,219,180,3826,402,2286,111,885,261,201,4163
C. Branco,86,552,13,61,36,18,795,105,623,15,83,55,24,939
Coimbra,260,1678,57,403,206,117,2766,289,1773,64,421,225,127,2951
Guarda,45,469,14,46,55,9,645,62,510,14,56,63,12,731
Leiria,242,2125,87,419,219,130,3258,291,2297,95,448,247,143,3559
Viseu,176,1282,42,205,119,57,1903,209,1372,50,238,146,67,2109
