,"Acidentes c/
vítimas",,"Vítimas
mortais",,,,,,,,,
,,,,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,,,,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2004,2005,2004,,,,,,,,,
,,,,2005,2004,2005,2004,2005,2004,2005,2004,2005
,,,,,,,,,,,,
,,,,,,,,,,,,
Atropelamento,6346,6112,196,183,774,727,5964,5765,6934,6675,"3,1","3,0"
,,,,,,,,,,,,
Atrop. com fuga,508,443,8,11,50,33,484,425,542,469,"1,6","2,5"
Atrop. de animais,91,98,0,1,5,8,94,104,99,113,"0,0","1,0"
Atrop. de peões,5747,5571,188,171,719,686,5386,5236,6293,6093,"3,3","3,1"
Colisão,21396,19994,521,484,2107,1808,28612,26745,31240,29037,"2,4","2,4"
,,,,,,,,,,,,
Choque em cadeia,572,488,4,5,30,25,864,781,898,811,"0,7","1,0"
Colisão com fuga,300,356,3,6,28,24,348,395,379,425,"1,0","1,7"
Outras situações,489,589,8,15,56,42,592,734,656,791,"1,6","2,5"
Col. c/ veic. ou obst.,1453,1335,33,,,,,,,,,
,,,,24,123,104,1825,1703,1981,1831,"2,3","1,8"
na faixa de rodagem,,,,,,,,,,,,
,,,,,,,,,,,,
Colisão frontal,5484,4910,259,194,850,723,8095,7206,9204,8123,"4,7","4,0"
Colisão lateral,9154,8394,153,184,794,667,11811,10874,12758,11725,"1,7","2,2"
Colisão traseira,3944,3922,61,56,226,223,5077,5052,5364,5331,"1,5","1,4"
Despiste,11188,10960,418,427,1309,1227,13243,12977,14970,14631,"3,7","3,9"
C/ capotamento,2766,2720,111,137,347,351,3572,3563,4030,4051,"4,0","5,0"
C/ colisão c/ veículo,1984,1752,92,,,,,,,,,
,,,,84,308,236,2383,1970,2783,2290,"4,6","4,8"
imobil. ou obstáculo,,,,,,,,,,,,
,,,,,,,,,,,,
C/ transposição,762,792,17,,,,,,,,,
,,,,22,88,88,917,901,1022,1011,"2,2","2,8"
separador central,,,,,,,,,,,,
,,,,,,,,,,,,
C/ fuga,76,83,1,2,11,12,84,97,96,111,"1,3","2,4"
C/ transp. dispositivo,358,350,19,,,,,,,,,
,,,,27,47,55,414,443,480,525,"5,3","7,7"
de retenção lateral,,,,,,,,,,,,
,,,,,,,,,,,,
Simples,5242,5263,178,155,508,485,5873,6003,6559,6643,"3,4","2,9"
Total,38930,37066,1135,1094,4190,3762,47819,45487,53144,50343,"2,9","3,0"
